time,open,high,low,close,Plot,Plot,Chande MO,Plot,CHOP,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot
2023-08-03T08:45:00-04:00,1.09521,1.09534,1.09369,1.0938,1.092023134,1.094351723,12.26295828,1,61.09500739,143.1798276,110.5903728,27.75132431,0.229245065,0,1.2772E+12
2023-08-03T09:00:00-04:00,1.0938,1.09402,1.09238,1.09256,1.092490821,1.094351723,-10.04672897,1,63.38963793,-5.640701373,80.16757784,19.58582614,0.191192493,0,1.27559E+12
2023-08-03T09:15:00-04:00,1.09256,1.09334,1.09232,1.09288,1.093068739,1.094351723,-2.910360885,1,63.61573868,-31.10558898,58.65027459,65.39644265,0.148699808,0,1.27399E+12
2023-08-03T09:30:00-04:00,1.09288,1.09336,1.0916,1.09196,1.092946481,1.094351723,-13.13559322,1,59.20547934,-112.4873143,31.38746877,23.80376838,0.084557019,0.356919773,1.27391E+12
2023-08-03T09:45:00-04:00,1.09196,1.09233,1.09154,1.09183,1.092830833,1.094351723,-30.23809524,1,59.27131832,-162.9043886,-33.79163313,29.38134619,0.027678545,0.394268562,1.27382E+12
2023-08-03T10:00:00-04:00,1.09183,1.09373,1.09159,1.09223,1.092830833,1.094351723,-16.01513241,1,61.97772052,-72.86418371,-77.00043539,67.80145279,-0.01782891,0.343283554,1.27368E+12
2023-08-03T10:15:00-04:00,1.09223,1.09429,1.0917,1.09417,1.092830833,1.094351723,5.544147844,1,65.15972863,37.99379173,-68.27353677,86.64780937,-0.018636562,0.062956696,1.27343E+12
2023-08-03T10:30:00-04:00,1.09417,1.09479,1.09355,1.09398,1.092830833,1.094351723,13.8427464,1,65.09295801,112.7244899,-39.507521,44.00329789,-0.004490953,0.122405871,1.27321E+12
2023-08-03T10:45:00-04:00,1.09398,1.09398,1.09304,1.09317,1.092830833,1.094319167,-27.7173913,1,64.26532378,25.47682577,-11.91469298,25.37178414,-0.018177415,0.120673386,1.27305E+12
2023-08-03T11:00:00-04:00,1.09317,1.09445,1.09296,1.0944,1.092830833,1.094319167,8.356545961,1,64.23115577,81.27778434,36.92174161,79.99269775,0.006048386,0.245363246,1.27289E+12
2023-08-03T11:15:00-04:00,1.0944,1.09546,1.09439,1.09477,1.092830833,1.094319167,35.02377179,1,63.40174223,169.9376021,85.48209876,78.81274695,0.01924179,0.375229071,1.27278E+12
2023-08-03T11:30:00-04:00,1.09477,1.09542,1.09471,1.09486,1.092830833,1.094319167,32.56578947,1,63.22663878,154.0285169,108.6890438,75.76714655,0.059454904,0.466118692,1.27271E+12
2023-08-03T11:45:00-04:00,1.09486,1.09487,1.0942,1.09465,1.092796745,1.094319167,50.09310987,1,62.46433486,96.7017978,105.4845054,37.25766151,0.124852444,0.50997205,1.27256E+12
2023-08-03T12:00:00-04:00,1.09465,1.09517,1.09445,1.09486,1.092743071,1.094256929,55.59633028,1,58.65306905,106.5223925,121.6936187,67.49675879,0.143597415,0.557681155,1.27244E+12
2023-08-03T12:15:00-04:00,1.09486,1.09535,1.09482,1.09535,1.092725763,1.094324237,56.31768953,1,56.27739491,120.8568807,129.609438,79.26216571,0.211683028,0.610666972,1.2723E+12
2023-08-03T12:30:00-04:00,1.09535,1.09589,1.09525,1.09579,1.092725763,1.094803813,40.0990099,1,50.07858513,140.6614836,123.7542143,84.8540812,0.306055337,0.692321781,1.27227E+12
2023-08-03T12:45:00-04:00,1.09579,1.09629,1.09551,1.09553,1.092725763,1.095234432,37.71289538,1,46.1835197,130.9669952,119.14191,35.92984495,0.365170674,0.724265102,1.2723E+12
2023-08-03T13:00:00-04:00,1.09553,1.0957,1.09528,1.09529,1.092725763,1.095297988,59.88700565,1,42.88431326,95.37323266,118.8761969,29.46773381,0.390335931,0.740610087,1.27233E+12
2023-08-03T13:15:00-04:00,1.09529,1.09535,1.09443,1.09443,1.092725763,1.09530519,0.94637224,1,43.61824647,44.51519604,106.4747576,12.38114359,0.387025428,0.726906272,1.27237E+12
2023-08-03T13:30:00-04:00,1.09443,1.09522,1.09433,1.09518,1.092725763,1.095314671,11.54929577,1,41.18610007,53.1725211,92.93788572,74.85230856,0.409584888,0.786831474,1.27234E+12
2023-08-03T13:45:00-04:00,1.09518,1.09534,1.09464,1.0947,1.092725763,1.095342204,-4.060913706,1,47.68083156,48.55853916,74.51729683,32.67968164,0.35797223,0.789242513,1.27226E+12
2023-08-03T14:00:00-04:00,1.0947,1.09504,1.09444,1.09482,1.092725763,1.095376983,4.415584416,1,45.55298454,35.91684608,55.50726701,60.93430742,0.307361701,0.773218105,1.27208E+12
2023-08-03T14:15:00-04:00,1.09482,1.09522,1.09469,1.09487,1.092725763,1.095415285,0.27100271,1,44.12423134,42.81596853,44.99581418,62.17736742,0.272728664,0.759945749,1.27191E+12
2023-08-03T14:30:00-04:00,1.09487,1.09487,1.09453,1.09475,1.092786187,1.095468756,-18.07228916,1,57.45349924,21.28468263,40.3497115,35.79797628,0.220959182,0.677547533,1.2717E+12
2023-08-03T14:45:00-04:00,1.09475,1.09476,1.09423,1.09431,1.09394481,1.095497881,-44.57831325,1,55.24077859,-19.05412586,25.90438211,18.53187055,0.146906223,0.632084634,1.27156E+12
2023-08-03T15:00:00-04:00,1.09431,1.09444,1.09393,1.09395,1.09394481,1.095526093,-46.19883041,1,49.78348799,-79.30307325,0.332059624,14.236985,0.061174202,0.678909255,1.27118E+12
2023-08-03T15:15:00-04:00,1.09395,1.0942,1.09383,1.09418,1.09394481,1.095526093,-32.55131965,1,46.89360424,-98.13926332,-26.47916225,63.97607922,-0.004922827,0.785779516,1.27084E+12
2023-08-03T15:30:00-04:00,1.09418,1.09435,1.09396,1.09406,1.094521065,1.095526093,-13.8576779,1,45.38956255,-90.36658141,-53.11567224,37.76327005,-0.060827271,0.782914039,1.27046E+12
2023-08-03T15:45:00-04:00,1.09406,1.09445,1.09401,1.0944,1.094495958,1.095526093,-34.51327434,1,44.9687922,-81.82683159,-73.73797509,70.16208207,-0.098419031,0.778568528,1.27005E+12
2023-08-03T16:00:00-04:00,1.0944,1.09472,1.09434,1.09472,1.094467363,1.095526093,0.952380952,1,43.7263098,-37.73882836,-77.47491559,77.6934826,-0.110271875,0.744992651,1.26964E+12
2023-08-03T16:15:00-04:00,1.09472,1.0949,1.09468,1.0949,1.094425626,1.095526093,3.703703704,1,51.29417843,6.962327136,-60.22183551,79.69554438,-0.11474538,0.694550159,1.26924E+12
2023-08-03T16:30:00-04:00,1.0949,1.095,1.09472,1.09473,1.094394064,1.095526093,-6.140350877,1,58.40662997,6.9505629,-39.20387026,37.84595597,-0.110022915,0.674817304,1.26883E+12
2023-08-03T16:45:00-04:00,1.09473,1.09499,1.09457,1.09491,1.094379657,1.095526093,6.837606838,1,55.88965354,5.97576124,-19.93540173,65.93830033,-0.084674929,0.641930399,1.26842E+12
2023-08-03T17:00:00-04:00,1.09491,1.09492,1.09403,1.09417,1.094379657,1.095526093,-5.303030303,1,55.88965354,-75.6739613,-18.70482768,21.84333672,-0.095290806,0.663547507,1.26801E+12
2023-08-03T17:15:00-04:00,1.09417,1.09477,1.09408,1.09474,1.094379657,1.094975483,27.71929825,1,58.96990505,-40.72810011,-19.30268203,70.60496673,-0.073429475,0.634229438,1.2676E+12
