time,open,high,low,close,Plot,Plot,Basis,Upper,Lower,ATR,Plot,Plot,Bollinger Bands %B,Bollinger Bands Width,BBPower,MF,Chaikin Oscillator
2023-05-10T22:00:00-04:00,1.09845,1.09851,1.09778,1.09793,1.098254487,1.099396548,1.09854,1.099303885,1.097776115,0.000470353,0.000631794,-0.712328767,0.100725138,0.001390727,-0.000901774,-0.106576878,-1183.853562
2023-05-10T22:15:00-04:00,1.09793,1.09823,1.09757,1.09763,1.098063038,1.099396548,1.0985115,1.099361659,1.097661341,0.000483899,0.000354735,-0.454545455,-0.018432194,0.001547839,-0.001115807,-0.159791538,-1691.400979
2023-05-10T22:30:00-04:00,1.09763,1.09784,1.09749,1.09762,1.097968734,1.099396548,1.0984805,1.099409553,1.097551447,0.000474335,-3.78235E-05,-0.028571429,0.03689389,0.001691523,-0.001346406,-0.192715822,-1864.643015
2023-05-10T22:45:00-04:00,1.09762,1.09814,1.0975,1.09805,1.097968734,1.099396548,1.0984705,1.099413463,1.097527537,0.000486168,-0.000295971,0.671875,0.277032581,0.001716865,-0.000954062,-0.15912527,-1391.631017
2023-05-10T23:00:00-04:00,1.09805,1.09817,1.09784,1.09796,1.097968375,1.099396548,1.0984535,1.099420108,1.097486892,0.000475013,-0.000443441,-0.272727273,0.244725883,0.001759943,-0.000487767,-0.1582142,-1175.746429
2023-05-10T23:15:00-04:00,1.09796,1.09798,1.09776,1.09782,1.097942537,1.099396548,1.0984245,1.099429815,1.097419185,0.000456798,-0.000496529,-0.636363636,0.199348076,0.001830468,-0.000635229,-0.179987063,-1104.200993
2023-05-10T23:30:00-04:00,1.09782,1.09782,1.09739,1.09756,1.097840284,1.099369893,1.0983835,1.099457283,1.097309717,0.000454884,-0.0005495,-0.604651163,0.116542812,0.001955207,-0.000985911,-0.174823346,-1032.42259
2023-05-10T23:45:00-04:00,1.09756,1.0976,1.09734,1.09744,1.097771255,1.099353904,1.098324,1.09946625,1.09718175,0.000440964,-0.000568353,-0.461538462,0.113044568,0.002079988,-0.001067924,-0.187091449,-963.8314694
2023-05-11T00:00:00-04:00,1.09744,1.09747,1.09696,1.09714,1.09739913,1.099349716,1.098253,1.099499517,1.097006483,0.000445895,-0.000655088,-0.588235294,0.053555937,0.002269999,-0.001331077,-0.186594942,-939.3937383
2023-05-11T00:15:00-04:00,1.09714,1.09737,1.09713,1.09721,1.097379217,1.099349716,1.0981835,1.099498023,1.096868977,0.000431188,-0.000780059,0.291666667,0.129713621,0.002393995,-0.001069495,-0.203775455,-905.9364479
2023-05-11T00:30:00-04:00,1.09721,1.09749,1.09711,1.09747,1.097375295,1.099349716,1.098142,1.099491142,1.096792858,0.000427532,-0.000867294,0.684210526,0.250952818,0.002457136,-0.000879567,-0.162975956,-574.1690276
2023-05-11T00:45:00-04:00,1.09747,1.09762,1.09738,1.09753,1.097357766,1.099349716,1.098106,1.099479891,1.096732109,0.000414137,-0.000866676,0.25,0.290376357,0.002502292,-0.000419629,-0.137061253,-311.396535
2023-05-11T01:00:00-04:00,1.09753,1.09774,1.09743,1.09772,1.097348989,1.099349716,1.098074,1.099452541,1.096695459,0.000406698,-0.000821176,0.612903226,0.371603407,0.002510835,-0.000252539,-0.102655793,156.1300202
2023-05-11T01:15:00-04:00,1.09772,1.09792,1.09768,1.09783,1.09733409,1.099349716,1.0980355,1.099396022,1.096674978,0.000394791,-0.000691971,0.458333333,0.424477494,0.002478101,0.000143538,-0.096611629,404.5495182
2023-05-11T01:30:00-04:00,1.09783,1.09823,1.09777,1.09808,1.09733409,1.099349716,1.0980135,1.099356084,1.096670916,0.000399449,-0.000542118,0.543478261,0.524765681,0.002445478,0.000443033,-0.037163092,595.3431116
2023-05-11T01:45:00-04:00,1.09808,1.09823,1.09775,1.09783,1.09733409,1.098938745,1.0979415,1.099155078,1.096727922,0.000405203,-0.0004,-0.520833333,0.454061452,0.002210642,0.000408314,-0.146204625,286.6668745
2023-05-11T02:00:00-04:00,1.09783,1.0979,1.09726,1.09739,1.09733409,1.09854087,1.0978405,1.098870791,1.096810209,0.000421974,-0.000365324,-0.6875,0.28137239,0.001876941,-0.000298588,-0.260115677,-284.5070407
2023-05-11T02:15:00-04:00,1.09739,1.09745,1.0967,1.09692,1.097150454,1.098090783,1.097722,1.098590668,1.096853332,0.000445404,-0.000433794,-0.626666667,0.038373663,0.001582674,-0.001077361,-0.23147584,-778.8763356
2023-05-11T02:30:00-04:00,1.09692,1.09692,1.09425,1.09539,1.094922409,1.097847319,1.0975485,1.098757967,1.096339033,0.000604304,-0.000794294,-0.573033708,-0.392335045,0.002203943,-0.003422024,-0.195893659,-1178.384925
2023-05-11T02:45:00-04:00,1.09539,1.09543,1.0929,1.09303,1.093758168,1.097847319,1.0972775,1.099533575,1.095021425,0.000741854,-0.001438647,-0.932806324,-0.441347197,0.004112132,-0.005043163,-0.277680778,-2780.015411
2023-05-11T03:00:00-04:00,1.09303,1.09358,1.09241,1.09327,1.093299351,1.097847319,1.0970445,1.099872853,1.094216147,0.000772436,-0.002278382,0.205128205,-0.167261194,0.005156314,-0.006406997,-0.115565903,-2005.661602
2023-05-11T03:15:00-04:00,1.09327,1.09333,1.09242,1.09301,1.093299351,1.097847319,1.0968135,1.100126054,1.093500946,0.000782262,-0.003053647,-0.285714286,-0.074103927,0.006040322,-0.005735998,-0.033401676,-907.9217511
2023-05-11T03:30:00-04:00,1.09301,1.09352,1.09275,1.09325,1.093289275,1.097847319,1.096595,1.100227032,1.092962968,0.000781386,-0.003680618,0.311688312,0.039514031,0.0066242,-0.004503712,0.007835338,99.37380153
2023-05-11T03:45:00-04:00,1.09325,1.09386,1.09297,1.093,1.093289275,1.097837587,1.0963425,1.100228119,1.092456881,0.000789144,-0.003963588,-0.280898876,0.06988835,0.007088331,-0.003261753,-0.094632389,-775.9034196
2023-05-11T04:00:00-04:00,1.093,1.09365,1.09181,1.09276,1.092786312,1.097812828,1.0960825,1.100189961,1.091975039,0.000864205,-0.004083676,-0.130434783,0.095553058,0.007494802,-0.003978646,-0.074442729,-986.9050549
2023-05-11T04:15:00-04:00,1.09276,1.09346,1.09234,1.09329,1.092786312,1.097779546,1.095856,1.100053839,1.091658161,0.000882476,-0.003943118,0.473214286,0.194366586,0.007661298,-0.003230268,-0.003369889,178.7390538
2023-05-11T04:30:00-04:00,1.09329,1.0933,1.09258,1.09323,1.092773613,1.097557591,1.0956395,1.099909491,1.091369509,0.000870871,-0.003771147,-0.083333333,0.217856516,0.007794517,-0.002783087,0.053546697,1753.793952
2023-05-11T04:45:00-04:00,1.09323,1.09333,1.09282,1.09284,1.092728252,1.097371832,1.0954095,1.099761545,1.091057455,0.000845094,-0.003620794,-0.764705882,0.204793979,0.00794597,-0.002086931,0.00277442,1137.633716
2023-05-11T05:00:00-04:00,1.09284,1.09344,1.0928,1.09283,1.092700427,1.097350725,1.095194,1.099608338,1.090779662,0.000830445,-0.003516853,-0.015625,0.232236154,0.008061289,-0.001628798,-0.033046241,-105.6897298
2023-05-11T05:15:00-04:00,1.09283,1.09315,1.09257,1.09293,1.092669384,1.097350725,1.09498,1.099397633,1.090562367,0.000812556,-0.003312765,0.172413793,0.267975286,0.008068883,-0.001861827,-0.019662547,-382.7546436
2023-05-11T05:30:00-04:00,1.09293,1.09308,1.09236,1.09273,1.092655446,1.097350725,1.094743,1.099109152,1.090376848,0.000805945,-0.003161118,-0.277777778,0.269476651,0.007976579,-0.001838709,-0.028535346,-442.0888579
2023-05-11T05:45:00-04:00,1.09273,1.09304,1.09238,1.09276,1.092636901,1.097349653,1.0945045,1.098755234,1.090253766,0.00079552,-0.003006529,0.045454545,0.294800142,0.007767412,-0.001607465,-0.026835771,-321.8951899
2023-05-11T06:00:00-04:00,1.09276,1.0931,1.09201,1.09222,1.092636901,1.097253688,1.0942295,1.098321216,1.090137784,0.000816554,-0.002919941,-0.495412844,0.254442873,0.007478716,-0.001547827,-0.063558504,-822.964356
2023-05-11T06:15:00-04:00,1.09222,1.09267,1.09197,1.092,1.092636901,1.096909319,1.093938,1.097785553,1.090090447,0.000808229,-0.002892735,-0.314285714,0.248151617,0.007034316,-0.001638137,-0.093957605,-1670.514073
2023-05-11T06:30:00-04:00,1.092,1.09242,1.09177,1.09241,1.092589101,1.096486387,1.0936545,1.097048303,1.090260697,0.000796927,-0.002867794,0.630769231,0.316651115,0.006206353,-0.001879832,-0.065915796,-1071.26565
2023-05-11T06:45:00-04:00,1.09241,1.09259,1.09219,1.09225,1.092547191,1.096001748,1.0933755,1.096224026,1.090526974,0.000768575,-0.002771735,-0.4,0.302441667,0.005210517,-0.00106557,-0.073714447,-1280.426236
2023-05-11T07:00:00-04:00,1.09225,1.09303,1.09213,1.09293,1.092547191,1.094539573,1.0931525,1.095327732,1.090977268,0.000777963,-0.002648176,0.755555556,0.448856034,0.003979741,-0.000687632,0.013756404,598.0569191
2023-05-11T07:15:00-04:00,1.09293,1.09347,1.0925,1.09338,1.092547191,1.093033099,1.0929755,1.094308864,1.091642136,0.000791679,-0.002419971,0.463917526,0.651684035,0.002439879,-7.97007E-06,0.063133958,2416.344526
2023-05-11T07:30:00-04:00,1.09338,1.09383,1.09257,1.09284,1.092547191,1.093033099,1.092848,1.093589987,1.092106013,0.000825131,-0.002102647,-0.428571429,0.494609066,0.001357895,0.000464597,0.049482945,2258.70359
2023-05-11T07:45:00-04:00,1.09284,1.09321,1.09248,1.09315,1.092547191,1.093033099,1.092854,1.093603677,1.092104323,0.000818336,-0.001804853,0.424657534,0.697418286,0.001371962,-0.000297488,0.149902774,3136.672569
2023-05-11T08:00:00-04:00,1.09315,1.09339,1.09278,1.09321,1.092547191,1.093012555,1.092851,1.093594449,1.092107551,0.000803455,-0.001532912,0.098360656,0.741442343,0.001360567,0.000120724,0.132409832,3762.030927
