Date,Time,Session,Day,open,high,low,close,Basis,Upper,Lower,Plot,EUR Index (Average),USD Index (HLC),Accumulation/Distribution,Histogram,MACD,Signal1,RVI,Candlestick,RVI-based MA,SMI,SMI-based EMA,K,D,Signal,Currency div candle
01/05/2023,15:00,New York Session,Monday,1.09694,1.097,1.09671,1.09684,1.0971245,1.098156071,1.096092929,1.097008334,16.62835417,68.0055032,-26032.92708,0.000105666,-0.000765768,-0.000871433,40.24172071,Bearish,39.03790759,-3.641026273,0.193220463,72.41136665,82.30418975,No trade,divd
01/05/2023,15:15,New York Session,Monday,1.09684,1.09706,1.09666,1.09673,1.097035,1.097855817,1.096214183,1.096893893,16.63020378,68.07123011,-27233.47708,0.000101814,-0.000744165,-0.00084598,37.83100003,Bearish,39.49712159,-20.23946372,-10.02312163,68.17801333,74.50983977,No trade,conu
01/05/2023,15:30,New York Session,Monday,1.09673,1.09697,1.09657,1.09657,1.0969615,1.097663904,1.096259096,1.096775688,16.62904366,68.06668832,-29348.47708,9.16E-05,-0.000731524,-0.000823088,34.98028665,Bearish,40.05536154,-41.62658429,-25.82485296,59.06690553,66.55209517,Buy,cond
01/05/2023,15:45,New York Session,Monday,1.09657,1.09735,1.09657,1.09727,1.096918,1.097394512,1.096441488,1.09683234,16.63300228,68.05604299,-27830.27195,0.000132517,-0.000657442,-0.000789959,40.44078509,Bullish Marubozu,40.5415856,-26.0569516,-25.94090228,69.59567819,65.61353235,Buy,divu
01/05/2023,16:00,New York Session,Monday,1.09727,1.09742,1.09715,1.09734,1.096929,1.09743302,1.09642498,1.096993799,16.63519738,68.06470419,-26944.97565,0.000162907,-0.000586325,-0.000749232,45.80599712,Bullish,41.09100242,-2.57441125,-14.25765676,82.26796822,70.31018398,No trade,conu
01/05/2023,16:15,New York Session,Monday,1.09734,1.0975,1.09725,1.09746,1.096958,1.0975117,1.0964043,1.097194863,16.63691118,68.0703941,-25765.85565,0.000187904,-0.000514352,-0.000702256,51.34066238,Bullish,42.1941263,23.48432658,4.613334909,100,83.9545488,No trade,conu
01/05/2023,16:30,New York Session,Monday,1.09746,1.0976,1.09738,1.09758,1.096995,1.097607944,1.096382056,1.097369274,16.63607896,68.05956113,-25249.58293,0.000207782,-0.000442528,-0.000650311,56.99361289,Bullish,43.46868832,48.4781597,26.5457473,100,94.08932274,No trade,cond
01/05/2023,16:45,New York Session,Monday,1.09758,1.09768,1.09731,1.09731,1.097014,1.097641101,1.096386899,1.097422849,16.63449941,68.06861619,-26666.58293,0.000198047,-0.000402752,-0.000600799,50.38426086,Bearish,44.16399356,50.56768003,38.55671367,93.21842968,97.73947656,No trade,divd
01/05/2023,17:00,Sydney Session,Monday,1.09731,1.09759,1.09692,1.09743,1.097061,1.09766442,1.09645758,1.097429392,16.6295385,68.06349754,-26607.55307,0.000194699,-0.000357426,-0.000552124,56.39884733,Bullish,45.35957314,52.21224151,45.38447759,89.68946559,94.30263176,No trade,cond
01/05/2023,17:15,Sydney Session,Monday,1.09743,1.09743,1.09714,1.09741,1.0971005,1.097686451,1.096514549,1.0974162,16.63024369,68.06191807,-26504.1048,0.000186151,-0.000319436,-0.000505587,49.46639683,Bearish Doji,45.91698679,52.38719334,48.88583547,85.56040285,89.48943271,No trade,divu
